Dia,CAMPANHA,Produto/Anúncio,PUBLICO,Impressões do anúncio,Cliques,Custo,Cadastros de Conta Corrente,Conversões,Receita,CTR (Click Through Rate),Taxa de Conversão de Cliques (H) para Conversões (K),CPC (Custo por Clique),CPA (Custo por Aquisição/Conversão),ROI como Índice (ROAS),ROI (Retorno sobre Investimento),CANAL_ORIGEM,Índice de Expansão,Coluna1,Receita Gerada,Vendedor que atendeu
2022-09-25 00:00:00,CONVERSAO,Empréstimo,HOT,57910.0,350.0,1712.5,0.0,0.0,0.0,0.006043861163874978,0.0,4.892857142857143,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-25 00:00:00,REMARKETING,Empréstimo,COLD,82810.0,470.0,2156.3,0.0,0.0,0.0,0.005675643038280401,0.0,4.587872340425532,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-25 00:00:00,CONVERSAO,Empréstimo,HOT,8880.0,80.0,531.0,0.0,0.0,0.0,0.009009009009009009,0.0,6.6375,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-26 00:00:00,Conversão,Empréstimo,COLD,8820.0,450.0,1637.8999999999999,,0.0,0.0,0.05102040816326531,0.0,3.6397777777777773,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-26 00:00:00,Institucional,Empréstimo,COLD,1340.0,260.0,428.40000000000003,,1.0,14955.0,0.19402985074626866,1.0,1.6476923076923078,428.40000000000003,34.90896358543417,33.90896358543417,GOOGLE ADS,1.0,,,
2022-09-26 00:00:00,Remarketing,Empréstimo,HOT,21850.0,200.0,140.7,,0.0,0.0,0.009153318077803204,0.0,0.7034999999999999,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-26 00:00:00,REMARKETING,Empréstimo,COLD,23360.0,110.0,311.8,0.0,0.0,0.0,0.004708904109589041,0.0,2.8345454545454545,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-26 00:00:00,CONVERSAO,Empréstimo,HOT,63450.0,340.0,1649.9,0.0,1.0,13459.5,0.005358550039401103,0.0029411764705882353,4.852647058823529,1649.9,8.157767137402267,7.157767137402266,METAADS,1.0,,,
2022-09-26 00:00:00,REMARKETING,Empréstimo,COLD,110290.0,470.0,2046.5,0.0,1.0,13459.5,0.004261492429050684,0.002127659574468085,4.354255319148936,2046.5,6.576838504764232,5.576838504764232,METAADS,1.0,,,
2022-09-26 00:00:00,CONVERSAO,Empréstimo,HOT,9790.0,60.0,554.4,0.0,1.0,13459.5,0.006128702757916241,0.016666666666666666,9.24,554.4,24.277597402597404,23.277597402597404,METAADS,1.0,,,
2022-09-27 00:00:00,Institucional,Empréstimo,COLD,1380.0,250.0,388.40000000000003,,0.0,0.0,0.18115942028985507,0.0,1.5536,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-27 00:00:00,Remarketing,Empréstimo,HOT,24150.0,220.0,129.4,,0.0,0.0,0.009109730848861283,0.0,0.5881818181818183,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-27 00:00:00,Conversão,Empréstimo,COLD,7420.0,370.0,1347.6,,0.0,0.0,0.04986522911051213,0.0,3.642162162162162,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-27 00:00:00,REMARKETING,Empréstimo,COLD,83400.0,450.0,1578.3000000000002,0.0,0.0,0.0,0.00539568345323741,0.0,3.507333333333334,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-27 00:00:00,CONVERSAO,Empréstimo,COLD,22570.0,100.0,298.7,0.0,0.0,0.0,0.004430660168365086,0.0,2.987,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-27 00:00:00,CONVERSAO,Empréstimo,HOT,65540.0,230.0,1597.8999999999999,0.0,0.0,0.0,0.003509307293256027,0.0,6.947391304347826,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-27 00:00:00,REMARKETING,Empréstimo,COLD,112420.0,380.0,1994.3000000000002,0.0,0.0,0.0,0.0033801814623732433,0.0,5.248157894736843,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-27 00:00:00,CONVERSAO,Empréstimo,HOT,8520.0,40.0,499.90000000000003,0.0,0.0,0.0,0.004694835680751174,0.0,12.4975,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-28 00:00:00,Institucional,Empréstimo,COLD,1440.0,290.0,491.0,,1.0,14955.0,0.2013888888888889,1.0,1.693103448275862,491.0,30.45824847250509,29.45824847250509,GOOGLE ADS,1.0,,,
2022-09-28 00:00:00,Remarketing,Empréstimo,HOT,24030.0,290.0,177.10000000000002,,0.0,0.0,0.012068248023304202,0.0,0.6106896551724139,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-28 00:00:00,Conversão,Empréstimo,COLD,6470.0,150.0,552.3,,0.0,0.0,0.023183925811437404,0.0,3.6819999999999995,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-28 00:00:00,REMARKETING,Empréstimo,COLD,51860.0,250.0,964.0999999999999,0.0,0.0,0.0,0.004820671037408407,0.0,3.8564,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-28 00:00:00,CONVERSAO,Empréstimo,COLD,23050.0,160.0,295.2,0.0,0.0,0.0,0.006941431670281995,0.0,1.845,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-28 00:00:00,CONVERSAO,Empréstimo,HOT,63110.0,290.0,1565.2,0.0,0.0,0.0,0.004595151323086674,0.0,5.397241379310345,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-28 00:00:00,REMARKETING,Empréstimo,COLD,120870.0,420.0,1944.9,0.0,0.0,0.0,0.003474807644576818,0.0,4.630714285714286,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-28 00:00:00,CONVERSAO,Empréstimo,HOT,8190.0,60.0,495.79999999999995,0.0,1.0,13459.5,0.007326007326007326,0.016666666666666666,8.263333333333332,495.79999999999995,27.14703509479629,26.147035094796294,METAADS,1.0,,,
2022-09-29 00:00:00,Institucional,Empréstimo,COLD,1320.0,120.0,255.3,,0.0,0.0,0.09090909090909091,0.0,2.1275,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-29 00:00:00,Conversão,Empréstimo,COLD,6130.0,290.0,1066.3,,0.0,0.0,0.04730831973898858,0.0,3.6768965517241377,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-29 00:00:00,Remarketing,Empréstimo,HOT,25350.0,280.0,177.89999999999998,,0.0,0.0,0.011045364891518738,0.0,0.6353571428571427,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-29 00:00:00,REMARKETING,Empréstimo,COLD,37150.0,240.0,993.3,0.0,0.0,0.0,0.006460296096904442,0.0,4.13875,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-29 00:00:00,CONVERSAO,Empréstimo,COLD,21320.0,90.0,286.5,0.0,0.0,0.0,0.004221388367729831,0.0,3.183333333333333,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-29 00:00:00,CONVERSAO,Empréstimo,HOT,59390.0,310.0,1576.3999999999999,0.0,1.0,12112.050000000001,0.0052197339619464555,0.0032258064516129032,5.0851612903225805,1576.3999999999999,7.683360822126366,6.683360822126366,METAADS,1.0,,,
2022-09-29 00:00:00,REMARKETING,Empréstimo,COLD,69130.0,350.0,1955.2,0.0,0.0,0.0,0.005062924924056126,0.0,5.586285714285714,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-29 00:00:00,CONVERSAO,Empréstimo,HOT,8460.0,80.0,479.79999999999995,0.0,0.0,0.0,0.009456264775413711,0.0,5.9975,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-30 00:00:00,Institucional,Empréstimo,COLD,1240.0,220.0,184.60000000000002,,0.0,0.0,0.1774193548387097,0.0,0.8390909090909092,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-30 00:00:00,Conversão,Empréstimo,COLD,4300.0,170.0,624.0,,0.0,0.0,0.03953488372093023,0.0,3.6705882352941175,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-30 00:00:00,Remarketing,Empréstimo,HOT,24450.0,270.0,153.9,,0.0,0.0,0.011042944785276074,0.0,0.5700000000000001,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-09-30 00:00:00,REMARKETING,Empréstimo,COLD,11100.0,20.0,241.4,0.0,0.0,0.0,0.0018018018018018018,0.0,12.07,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-30 00:00:00,CONVERSAO,Empréstimo,COLD,37730.0,310.0,974.2,0.0,0.0,0.0,0.008216273522395972,0.0,3.1425806451612903,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-30 00:00:00,CONVERSAO,Empréstimo,COLD,16020.0,80.0,247.39999999999998,0.0,0.0,0.0,0.004993757802746567,0.0,3.0925,0.0,0.0,-1.0,METAADS,0.0,,,
2022-09-30 00:00:00,CONVERSAO,Empréstimo,HOT,62740.0,170.0,1522.4,0.0,1.0,12112.050000000001,0.0027095951546063117,0.0058823529411764705,8.955294117647059,1522.4,7.955892012611666,6.955892012611666,METAADS,1.0,,,
2022-09-30 00:00:00,REMARKETING,Empréstimo,COLD,70460.0,280.0,1920.6999999999998,0.0,1.0,13459.5,0.003973885892705081,0.0035714285714285713,6.859642857142856,1920.6999999999998,7.007601395324622,6.007601395324621,METAADS,1.0,,,
2022-09-30 00:00:00,CONVERSAO,Empréstimo,HOT,8820.0,60.0,471.8,0.0,0.0,0.0,0.006802721088435374,0.0,7.863333333333333,0.0,0.0,-1.0,METAADS,0.0,,,
2022-10-01 00:00:00,Remarketing,Empréstimo,HOT,31940.0,200.0,140.6,,0.0,0.0,0.006261740763932373,0.0,0.703,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-10-01 00:00:00,Institucional,Empréstimo,COLD,520.0,50.0,60.5,,0.0,0.0,0.09615384615384616,0.0,1.21,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-10-01 00:00:00,Conversão,Empréstimo,COLD,2720.0,120.0,442.0,,0.0,0.0,0.04411764705882353,0.0,3.683333333333333,0.0,0.0,-1.0,GOOGLE ADS,0.0,,,
2022-10-01 00:00:00,REMARKETING,Empréstimo,COLD,65030.0,100.0,959.5999999999999,0.0,0.0,0.0,0.001537751806858373,0.0,9.595999999999998,0.0,0.0,-1.0,METAADS,0.0,,,
